,name,rating,region,link
59,Costa Russi (Barbaresco) Langhe ,4.7,Langhe,https://www.vivino.com/gaja-costa-russi-barbaresco-langhe/w/66114?year=1998
60,Gran Pumo d'Oro Primitivo di Manduria Riserva ,4.7,Primitivo di Manduria,https://www.vivino.com/il-pumo-gran-pumo-d-oro-primitivo-di-manduria-riserva/w/5105319?year=2014
61,Habemus Lazio Rosso (White Label) ,4.7,Lazio,https://www.vivino.com/san-giovenale-habemus-lazio-rosso-white-label/w/1836560?year=2017
62,Octavius Amarone della Valpolicella Riserva ,4.7,Amarone della Valpolicella,https://www.vivino.com/marchesi-fumanelli-octavius-amarone-della-valpolicella-riserva/w/2936438?year=2010
63,Due Mori Amarone della Vapolicella Riserva ,4.7,Amarone della Valpolicella,https://www.vivino.com/vacceos-due-mori-amarone-della-vapolicella-riserva/w/3234250?year=2011
64,Campolongo di Torbe Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/it-masi-campolongo-di-torbe-amarone-della-valpolicella-classico/w/21938?year=2000
65,Orgno Merlot Veronese ,4.7,Verona,https://www.vivino.com/fasoli-gino-orgno-merlot-veronese/w/91567?year=2011
66,Darmagi Langhe ,4.7,Langhe,https://www.vivino.com/gaja-darmagi-langhe/w/66224?year=1999
67,Redigaffi Toscana ,4.7,Toscana,https://www.vivino.com/tua-rita-redigaffi-toscana/w/75816?year=2006
68,Barolo Cerretta ,4.7,Barolo,https://www.vivino.com/giacomo-conterno-barolo-cerretta/w/3127311?year=2011
69,Nebbiolo del Piemonte ,4.7,Piemonte,https://www.vivino.com/gaja-nebbiolo-del-piemonte/w/1839089?year=2001
70,Intistieti Brunello di Montalcino Riserva ,4.7,Brunello di Montalcino,https://www.vivino.com/soldera-intistieti-brunello-di-montalcino-riserva/w/82010?year=1995
71,Tenuta Guado al Tasso Bolgheri Superiore ,4.7,Bolgheri Superiore,https://www.vivino.com/antinori-tuscany-tenuta-guado-al-tasso-bolgheri-superiore/w/1658?year=2017
72,Toscana Rosso ,4.7,Toscana,https://www.vivino.com/tenuta-di-trinoro-toscana-rosso/w/1169881?year=1999
73,Barolo Riserva Villero ,4.7,Barolo,https://www.vivino.com/vietti-barolo-riserva-villero/w/77453?year=2001
74,Le Opere Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/il-cantiniere-d-italia-le-opere-amarone-della-valpolicella-classico/w/4500572?year=2010
75,Per Sempre Syrah Toscana ,4.7,Toscana,https://www.vivino.com/tua-rita-per-sempre-syrah-toscana/w/4878245?year=2013
76,Brunate  Barolo ,4.7,Barolo,https://www.vivino.com/roberto-voerzio-brunate-barolo/w/77304?year=2000
77,Amarone della Valpolicella Classico Mater ,4.7,Valpolicella,https://www.vivino.com/domini-veneti-amarone-della-valpolicella-classico-mater/w/2371202?year=2008
78,Amarone della Valpolicella ,4.7,Amarone della Valpolicella,https://www.vivino.com/ferragu-amarone-della-valpolicella/w/1170048?year=2006
79, Amarone della Valpolicella Riserva ,4.7,Amarone della Valpolicella,https://www.vivino.com/villa-canestrari-amarone-della-valpolicella-1888-riserva/w/91649?year=2007
80,Riserva Vigna Fontelontano Brunello di Montalcino ,4.7,Brunello di Montalcino,https://www.vivino.com/collemattoni-riserva-vigna-fontelontano-brunello-di-montalcino/w/1256411?year=2006
81,Le Pergole Torte ,4.7,Toscana,https://www.vivino.com/montevertine-le-pergole-torte/w/15292?year=1990
82,Corpus Amarone della Valpolicella ,4.7,Amarone della Valpolicella,https://www.vivino.com/villa-rinaldi-corpus-amarone-della-valpolicella/w/1210007?year=2003
83,Ottocento Primitivo di Manduria ,4.7,Primitivo di Manduria,https://www.vivino.com/de-feudis-puglia-ottocento-primitivo-di-manduria/w/2559524?year=2013
84,Dincanto Merlot ,4.7,Toscana,https://www.vivino.com/sant-agnese-toscana-merlot/w/1560958?year=2013
85,Guido Rosso del Veneto ,4.7,Veneto,https://www.vivino.com/manara-guido-rosso-del-veneto/w/1182814?year=2009
86,Collezione Ca' Del Pipa Cinque Stelle Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/michele-castellani-collezione-ca-del-pipa-cinque-stelle-amarone-della-valpolicella-classico/w/1153843?year=2003
87,Es Riserva ,4.7,Primitivo di Manduria,https://www.vivino.com/gianfranco-fino-es-red-wine-v-n3tau/w/1665257?year=2013
88,Falletto Barolo Le Rocche del Falletto Riserva ,4.7,Barolo,https://www.vivino.com/bruno-giacosa-falletto-barolo-le-rocche-del-falletto-riserva/w/1134562?year=2004
89,J Prognai Rosso ,4.7,Veneto,https://www.vivino.com/flli-giuliari-veneto-y-proguai-rosso/w/3871879?year=2013
90,Terrestre ,4.7,Toscana,https://www.vivino.com/torciano-terrestre/w/1582546?year=2012
91,Barolo Monprivato ,4.7,Barolo,https://www.vivino.com/mascarello-giuseppe-e-figlio-barolo-monprivato/w/1274818?year=1990
92,Cerasum Amarone della Valpolicella ,4.7,Amarone della Valpolicella,https://www.vivino.com/soraighe-cerasum-amarone-della-valpolicella/w/1168202?year=2006
93,Riserva vigneto Pozzo dell'Annunziata Barbera d'Alba ,4.7,Barbera d'Alba,https://www.vivino.com/roberto-voerzio-riserva-vigneto-pozzo-dell-annunziata-barbera-d-alba/w/1177416?year=2001
94,Vigneti dei Coali Amarone della Valpolicella Classico Riserva ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/coali-vigneti-dei-coali-amarone-della-valpolicella-classico-riserva/w/1449949?year=2007
95,Montefico Barbaresco Vecchie Viti ,4.7,Barbaresco,https://www.vivino.com/roagna-montefico-barbaresco-vecchie-viti/w/1992380?year=2011
