,name,rating,sub_region,year,price_DKK,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,cardinal_1,cardinal_2
5078,Riserva Ducale Oro Chianti Classico (Gran Selezione Gold) ,3.9,Chianti Classico,2011,193.66 ,1495,1065.0,0.449953,0.513529,0.0,0.629688,Ruffino,semi light,semi tannic,dry,acidic,Toscana,North,North-west
5079,Barolo ,4.5,Barolo,2011,2000 ,371,682.0,0.558255,0.758365,0.0669153,0.796671,Bartolo Mascarello,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5080,Barolo Cascina Francia ,4.5,Barolo,2011,1999 ,400,686.0,0.59654,0.749562,0.0535222,0.800543,Giacomo Conterno,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5081,Barolo ,4.2,Barolo,2011,399 ,1685,1883.0,0.600125,0.746573,0.0238006,0.8066169999999999,Massolino,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5082,Amarone della Valpolicella Classico ,4.2,Amarone della Valpolicella Classico,2011,308.30 ,1186,257.0,0.825,0.17580300000000001,0.508584,0.18357099999999998,Villa Girardi,bold,smooth,sweet,soft,Veneto,North,North-east
5083,Oreno Toscana ,4.2,Toscana,2011,599 ,1205,1756.0,0.506225,0.419206,0.07937200000000001,0.429904,Tenuta Sette Ponti,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
5084,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico ,4.3,Amarone della Valpolicella,2011,370.95 ,1720,1346.0,0.825,0.227959,0.464118,0.21205,Masi,bold,smooth,sweet,soft,Veneto,North,North-east
5085,Amarone della Valpolicella Classico ,3.8,Amarone della Valpolicella Classico,2011,199 ,1482,1428.0,0.825,0.20109000000000002,0.460877,0.190461,Cantina di Negrar,bold,smooth,sweet,soft,Veneto,North,North-east
5086,Ca'Marcanda Magari ,4.2,Bolgheri,2011,721.02 ,1693,1983.0,0.58953,0.633749,0.0646772,0.516992,Gaja,semi bold,semi tannic,dry,semi acidic,Toscana,North,North-west
5087,Il Grigio Chianti Classico Riserva ,3.9,Chianti Classico,2011,102.05 ,1697,1700.0,0.443873,0.536179,0.025087699999999994,0.607596,San Felice,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
5088,Barbaresco Riserva Rio Sordo ,4.2,Barbaresco,2011,432.02 ,413,389.0,0.574442,0.693685,0.0344118,0.825,Produttori del Barbaresco,semi bold,tannic,dry,acidic,Piemonte,North,North-west
