,name,rating,region,"price, kr.",light-bold,smooth-tannic,dry-sweet,soft-acidic,winery
89,J Prognai Rosso ,4.7,Veneto,550.16 ,73.2478,36.2328,29.2845,22.1035,Fratelli Giuliari
90,Terrestre ,4.7,Toscana,997.97 ,54.9009,37.3412,-2.5,40.6156,Torciano
91,Barolo Monprivato ,4.7,Barolo,4431.89 ,54.243,72.9328,4.86499,80.9459,Mascarello Giuseppe e Figlio
92,Cerasum Amarone della Valpolicella ,4.7,Amarone della Valpolicella,216.66 ,82.5,24.2897,49.6786,22.1191,Soraighe
93,Riserva vigneto Pozzo dell'Annunziata Barbera d'Alba ,4.7,Barbera d'Alba,2942.18 ,55.398,19.4718,12.4463,61.6713,Roberto Voerzio
94,Vigneti dei Coali Amarone della Valpolicella Classico Riserva ,4.7,Amarone della Valpolicella Classico,425 ,82.5,19.7902,44.3579,20.6242,Coali
95,Montefico Barbaresco Vecchie Viti ,4.7,Barbaresco,1601.44 ,60.6318,73.1635,-2.1005599999999998,82.5,Roagna
96,Opheliah Maria Bolgheri Superiore ,4.7,Bolgheri,538.44 ,69.6944,78.2963,12.2963,52.8981,Tenuta Argentiera
97,Barolo ,4.7,Barolo,299 ,58.3498,71.7284,2.2785900000000003,81.4508,Prunotto
98,Bassolino di Sopra Brunello di Montalcino ,4.7,Brunello di Montalcino,2370.21 ,33.3056,54.2667,9.1389,59.5889,Pian dell'Orino
99,Crichet Pajè Barbaresco ,4.7,Barbaresco,5993.71 ,55.0313,69.8478,5.9354499999999994,82.0337,Roagna
100,Campo Marna Cinquecento Amarone della Valpolicella ,4.7,Amarone della Valpolicella,1999 ,78.0771,11.2326,42.8532,17.9179,I Campi
101,Decavin Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,234.69 ,82.5,15.0,43.1034,15.0,Dieci Terre
102,Sprigione ,4.7,Marche,316.19 ,47.4257,26.8564,4.95545,38.6634,Il Crinale
103,Colore Toscana ,4.7,Toscana,2971.98 ,50.5036,38.010999999999996,-0.7632299999999999,46.4413,Bibi Graetz
104,Barolo Percristina ,4.7,Barolo,3314.98 ,62.8398,79.1177,9.7337,82.5,Domenico Clerico
105,Forlago Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,600 ,82.5,16.2596,46.6762,17.6828,Fratelli Vogadori
