,manufacturer,link,name,year,name_year,manufacturer_name_year,manufacturer_name
1574,Eduardo Torres Acosta,https://www.dn.no/smak/vin/eduardo-t-acosta-pirrera-nerello-masacalese/4-1-80937,Eduardo T. Acosta Pirrera Nerello Masacalese,2016,Eduardo T. Acosta Pirrera Nerello Masacalese 2016,Eduardo Torres Acosta Eduardo T. Acosta Pirrera Nerello Masacalese 2016,Eduardo Torres Acosta Eduardo T. Acosta Pirrera Nerello Masacalese
1575,Collemassari,https://www.dn.no/smak/vin/grattamacco-bolgheri-rosso/4-1-88255,Grattamacco Bolgheri Rosso,2016,Grattamacco Bolgheri Rosso 2016,Collemassari Grattamacco Bolgheri Rosso 2016,Collemassari Grattamacco Bolgheri Rosso
1576,Burlotto,https://www.dn.no/smak/vin/barbera-dalba/4-1-87475,Barbera d'Alba,2018,Barbera d'Alba 2018,Burlotto Barbera d'Alba 2018,Burlotto Barbera d'Alba
1577,Gianni Brunelli,https://www.dn.no/smak/vin/toscana-rosso/4-1-87770,Toscana Rosso,2017,Toscana Rosso 2017,Gianni Brunelli Toscana Rosso 2017,Gianni Brunelli Toscana Rosso
1578,Burlotto,https://www.dn.no/smak/vin/langhe-nebbiolo/4-1-87477,Langhe Nebbiolo,2018,Langhe Nebbiolo 2018,Burlotto Langhe Nebbiolo 2018,Burlotto Langhe Nebbiolo
1579,San Polo,https://www.dn.no/smak/vin/san-polo-brunello-di-montalcino/4-1-90050,San Polo Brunello di Montalcino,2014,San Polo Brunello di Montalcino 2014,San Polo San Polo Brunello di Montalcino 2014,San Polo San Polo Brunello di Montalcino
1580,Burlotto,https://www.dn.no/smak/vin/burlotto-verduno-pelaverga/4-1-87478,Burlotto Verduno Pelaverga,2018,Burlotto Verduno Pelaverga 2018,Burlotto Burlotto Verduno Pelaverga 2018,Burlotto Burlotto Verduno Pelaverga
1581,F.lli. Cigliuti,https://www.dn.no/smak/vin/barbaresco-serraboella/4-1-32333,Barbaresco Serraboella,2012,Barbaresco Serraboella 2012,F.lli. Cigliuti Barbaresco Serraboella 2012,F.lli. Cigliuti Barbaresco Serraboella
1582,Az. Agr. San Fereolo,https://www.dn.no/smak/vin/san-fereolo-austri/4-1-53178,San Fereolo Austri,2009,San Fereolo Austri 2009,Az. Agr. San Fereolo San Fereolo Austri 2009,Az. Agr. San Fereolo San Fereolo Austri
1583,Az. Agr. San Fereolo,https://www.dn.no/smak/vin/san-fereolo/4-1-53177,San Fereolo,2009,San Fereolo 2009,Az. Agr. San Fereolo San Fereolo 2009,Az. Agr. San Fereolo San Fereolo
1584,Le Pianelle,https://www.dn.no/smak/vin/le-pianelle-bramaterra/4-1-53145,Le Pianelle Bramaterra,2013,Le Pianelle Bramaterra 2013,Le Pianelle Le Pianelle Bramaterra 2013,Le Pianelle Le Pianelle Bramaterra
1585,Gaja,https://www.dn.no/smak/vin/sito-moresco/4-1-53538,Sito Moresco,2014,Sito Moresco 2014,Gaja Sito Moresco 2014,Gaja Sito Moresco
1586,"Ca' La Bionda, Az.Agr.",https://www.dn.no/smak/vin/le-tordare-recioto-de-valpolicella/4-1-19189,Le Tordare Recioto de Valpolicella,2011,Le Tordare Recioto de Valpolicella 2011,"Ca' La Bionda, Az.Agr. Le Tordare Recioto de Valpolicella 2011","Ca' La Bionda, Az.Agr. Le Tordare Recioto de Valpolicella"
1587,Paolo Scavino,https://www.dn.no/smak/vin/paolo-scavino-barolo-bric-del-fiasc/4-1-52307,Paolo Scavino Barolo Bric del Fiasc,2012,Paolo Scavino Barolo Bric del Fiasc 2012,Paolo Scavino Paolo Scavino Barolo Bric del Fiasc 2012,Paolo Scavino Paolo Scavino Barolo Bric del Fiasc
