,manufacturer,link,name,year,name_year,manufacturer_name_year,manufacturer_name
865,Prunotto,https://www.dn.no/smak/vin/prunotto-bussia-barolo/4-1-67118,Prunotto Bussia Barolo,2011,Prunotto Bussia Barolo 2011,Prunotto Prunotto Bussia Barolo 2011,Prunotto Prunotto Bussia Barolo
866,Riecine S.S.,https://www.dn.no/smak/vin/riecine-di-riecine/4-1-51377,Riecine di Riecine,2013,Riecine di Riecine 2013,Riecine S.S. Riecine di Riecine 2013,Riecine S.S. Riecine di Riecine
867,Col d'Orcia,https://www.dn.no/smak/vin/brunello-di-montalcino/4-1-58725,Brunello di Montalcino,2013,Brunello di Montalcino 2013,Col d'Orcia Brunello di Montalcino 2013,Col d'Orcia Brunello di Montalcino
868,Marchesi di Gresy,https://www.dn.no/smak/vin/gaiun-martinenga-barbaresco/4-1-32507,Gaiun Martinenga Barbaresco,2010,Gaiun Martinenga Barbaresco 2010,Marchesi di Gresy Gaiun Martinenga Barbaresco 2010,Marchesi di Gresy Gaiun Martinenga Barbaresco
869,Burlotto,https://www.dn.no/smak/vin/barolo/4-1-74094,Barolo,2015,Barolo 2015,Burlotto Barolo 2015,Burlotto Barolo
870,Az. Agr. la Ca' Nova,https://www.dn.no/smak/vin/bartbaresco-montestefano/4-1-54323,Bartbaresco Montestefano,2014,Bartbaresco Montestefano 2014,Az. Agr. la Ca' Nova Bartbaresco Montestefano 2014,Az. Agr. la Ca' Nova Bartbaresco Montestefano
871,Arianna Occhipinti,https://www.dn.no/smak/vin/occhipinti-grotte-alte-cerasuolo-di-vittoria/4-1-63970,Occhipinti Grotte Alte Cerasuolo di Vittoria,2013,Occhipinti Grotte Alte Cerasuolo di Vittoria 2013,Arianna Occhipinti Occhipinti Grotte Alte Cerasuolo di Vittoria 2013,Arianna Occhipinti Occhipinti Grotte Alte Cerasuolo di Vittoria
872,Az. Agr. Elio Grasso,https://www.dn.no/smak/vin/barolo-gavarini-chiniera/4-1-41752,Barolo Gavarini Chiniera,2011,Barolo Gavarini Chiniera 2011,Az. Agr. Elio Grasso Barolo Gavarini Chiniera 2011,Az. Agr. Elio Grasso Barolo Gavarini Chiniera
873,Luciano Sandrone,https://www.dn.no/smak/vin/sandrone-nebbiolo-dalba-valmaggiore/4-1-63569,Sandrone Nebbiolo d'Alba Valmaggiore,2015,Sandrone Nebbiolo d'Alba Valmaggiore 2015,Luciano Sandrone Sandrone Nebbiolo d'Alba Valmaggiore 2015,Luciano Sandrone Sandrone Nebbiolo d'Alba Valmaggiore
874,Luigi Baudana,https://www.dn.no/smak/vin/barolo-serralunga/4-1-29756,Barolo Serralunga,2011,Barolo Serralunga 2011,Luigi Baudana Barolo Serralunga 2011,Luigi Baudana Barolo Serralunga
875,Giacomo Anselma,https://www.dn.no/smak/vin/anselma-barolo-collaretto/4-1-70424,Anselma Barolo Collaretto,2011,Anselma Barolo Collaretto 2011,Giacomo Anselma Anselma Barolo Collaretto 2011,Giacomo Anselma Anselma Barolo Collaretto
876,Giancarlo Travaglini,https://www.dn.no/smak/vin/gattinara-tre-vigne/4-1-52188,Gattinara Tre Vigne,2011,Gattinara Tre Vigne 2011,Giancarlo Travaglini Gattinara Tre Vigne 2011,Giancarlo Travaglini Gattinara Tre Vigne
877,Az. Agr. Poggio Salvi,https://www.dn.no/smak/vin/brunello-di-montalcino/4-1-28178,Brunello di Montalcino,1979,Brunello di Montalcino 1979,Az. Agr. Poggio Salvi Brunello di Montalcino 1979,Az. Agr. Poggio Salvi Brunello di Montalcino
878,Ca del Vent,https://www.dn.no/smak/vin/campianni/4-1-72782,Campianni,2013,Campianni 2013,Ca del Vent Campianni 2013,Ca del Vent Campianni
879,Elio Altare,https://www.dn.no/smak/vin/elio-altare-barolo-arborina/4-1-57834,Elio Altare Barolo Arborina,2013,Elio Altare Barolo Arborina 2013,Elio Altare Elio Altare Barolo Arborina 2013,Elio Altare Elio Altare Barolo Arborina
880,Az. Agr. Sottimano,https://www.dn.no/smak/vin/sottimano-barbaresco-curra/4-1-56547,Sottimano Barbaresco Currá,2013,Sottimano Barbaresco Currá 2013,Az. Agr. Sottimano Sottimano Barbaresco Currá 2013,Az. Agr. Sottimano Sottimano Barbaresco Currá
881,Gaja/ Ca´Marcanda,https://www.dn.no/smak/vin/camarcanda/4-1-72761,Camarcanda,2015,Camarcanda 2015,Gaja/ Ca´Marcanda Camarcanda 2015,Gaja/ Ca´Marcanda Camarcanda
882,Ten. Il Poggione,https://www.dn.no/smak/vin/brunello-di-montalcino-vigna-paganelli-riserva/4-1-70821,Brunello di Montalcino Vigna Paganelli Riserva,2012,Brunello di Montalcino Vigna Paganelli Riserva 2012,Ten. Il Poggione Brunello di Montalcino Vigna Paganelli Riserva 2012,Ten. Il Poggione Brunello di Montalcino Vigna Paganelli Riserva
883,Aldo Conterno,https://www.dn.no/smak/vin/aldo-conterno-barbera-dalba-conca-tre-pile/4-1-57335,Aldo Conterno Barbera d'Alba Conca Tre Pile,2014,Aldo Conterno Barbera d'Alba Conca Tre Pile 2014,Aldo Conterno Aldo Conterno Barbera d'Alba Conca Tre Pile 2014,Aldo Conterno Aldo Conterno Barbera d'Alba Conca Tre Pile
884,Az. Agr. Olek Bondonio,https://www.dn.no/smak/vin/barbaresco-starderi/4-1-45613,Barbaresco Starderi,2014,Barbaresco Starderi 2014,Az. Agr. Olek Bondonio Barbaresco Starderi 2014,Az. Agr. Olek Bondonio Barbaresco Starderi
885,Az. Agr. Olek Bondonio,https://www.dn.no/smak/vin/barbaresco-roncagliette/4-1-45612,Barbaresco Roncagliette,2014,Barbaresco Roncagliette 2014,Az. Agr. Olek Bondonio Barbaresco Roncagliette 2014,Az. Agr. Olek Bondonio Barbaresco Roncagliette
886,Az. Agr. Brovia,https://www.dn.no/smak/vin/barolo-rocche-del-castiglione-falletto/4-1-38696,Barolo Rocche del Castiglione Falletto,2011,Barolo Rocche del Castiglione Falletto 2011,Az. Agr. Brovia Barolo Rocche del Castiglione Falletto 2011,Az. Agr. Brovia Barolo Rocche del Castiglione Falletto
887,Guido Porro,https://www.dn.no/smak/vin/guido-porro-barolo-giannetto/4-1-27899,Guido Porro Barolo Giannetto,2011,Guido Porro Barolo Giannetto 2011,Guido Porro Guido Porro Barolo Giannetto 2011,Guido Porro Guido Porro Barolo Giannetto
888,Pasqua,https://www.dn.no/smak/vin/pasqua-mai-dire-mai-amarone-della-valpolicella/4-1-53114,Pasqua Mai dire Mai Amarone della Valpolicella,2010,Pasqua Mai dire Mai Amarone della Valpolicella 2010,Pasqua Pasqua Mai dire Mai Amarone della Valpolicella 2010,Pasqua Pasqua Mai dire Mai Amarone della Valpolicella
889,Soc.Agr. Trediberri di Nicola,https://www.dn.no/smak/vin/trediberri-barolo-rocche-dellannunziata/4-1-68406,Trediberri Barolo Rocche dell’Annunziata,2014,Trediberri Barolo Rocche dell’Annunziata 2014,Soc.Agr. Trediberri di Nicola Trediberri Barolo Rocche dell’Annunziata 2014,Soc.Agr. Trediberri di Nicola Trediberri Barolo Rocche dell’Annunziata
890,"Germano, E.",https://www.dn.no/smak/vin/barolo-ceretta/4-1-69400,Barolo Ceretta,2009,Barolo Ceretta 2009,"Germano, E. Barolo Ceretta 2009","Germano, E. Barolo Ceretta"
891,Ceretto,https://www.dn.no/smak/vin/ceretto-barolo/4-1-51621,Ceretto Barolo,2013,Ceretto Barolo 2013,Ceretto Ceretto Barolo 2013,Ceretto Ceretto Barolo
892,Quintarelli,https://www.dn.no/smak/vin/quintarelli-valpolicella-classico-superiore/4-1-68876,Quintarelli Valpolicella Classico Superiore,2010,Quintarelli Valpolicella Classico Superiore 2010,Quintarelli Quintarelli Valpolicella Classico Superiore 2010,Quintarelli Quintarelli Valpolicella Classico Superiore
893,Az. Agr. Foradori,https://www.dn.no/smak/vin/foradori-granato/4-1-67566,Foradori Granato,2015,Foradori Granato 2015,Az. Agr. Foradori Foradori Granato 2015,Az. Agr. Foradori Foradori Granato
894,Luigi Pira,https://www.dn.no/smak/vin/barolo/4-1-59564,Barolo,2014,Barolo 2014,Luigi Pira Barolo 2014,Luigi Pira Barolo
895,Mastrojanni,https://www.dn.no/smak/vin/brunello-di-montalcino-vigna-loreto/4-1-70863,Brunello di Montalcino Vigna Loreto,2013,Brunello di Montalcino Vigna Loreto 2013,Mastrojanni Brunello di Montalcino Vigna Loreto 2013,Mastrojanni Brunello di Montalcino Vigna Loreto
896,Az. Vin. Palladino,https://www.dn.no/smak/vin/palladino-barolo-ornato/4-1-54263,Palladino Barolo Ornato,2012,Palladino Barolo Ornato 2012,Az. Vin. Palladino Palladino Barolo Ornato 2012,Az. Vin. Palladino Palladino Barolo Ornato
897,Panevino,https://www.dn.no/smak/vin/pikade/4-1-20874,Pikadé,2013,Pikadé 2013,Panevino Pikadé 2013,Panevino Pikadé
898,F.lli Tedeschi,https://www.dn.no/smak/vin/tedeschi-capitel-monte-olmi-amarone-della-valpolicella-classico-riserva/4-1-51689,Tedeschi Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,2011,Tedeschi Capitel Monte Olmi Amarone della Valpolicella Classico Riserva 2011,F.lli Tedeschi Tedeschi Capitel Monte Olmi Amarone della Valpolicella Classico Riserva 2011,F.lli Tedeschi Tedeschi Capitel Monte Olmi Amarone della Valpolicella Classico Riserva
899,Luigi Baudana,https://www.dn.no/smak/vin/barolo-baudana/4-1-29757,Barolo Baudana,2011,Barolo Baudana 2011,Luigi Baudana Barolo Baudana 2011,Luigi Baudana Barolo Baudana
900,F.lli. Cigliuti,https://www.dn.no/smak/vin/cigiliuti-barbaresco-serraboella/4-1-52409,Cigiliuti Barbaresco Serraboella,2013,Cigiliuti Barbaresco Serraboella 2013,F.lli. Cigliuti Cigiliuti Barbaresco Serraboella 2013,F.lli. Cigliuti Cigiliuti Barbaresco Serraboella
901,Massolino,https://www.dn.no/smak/vin/massolino-barolo/4-1-57337,Massolino Barolo,2013,Massolino Barolo 2013,Massolino Massolino Barolo 2013,Massolino Massolino Barolo
902,Pietro Cassina,https://www.dn.no/smak/vin/pietro-cassina-lessona-pidrin/4-1-44081,Pietro Cassina Lessona Pidrin,2013,Pietro Cassina Lessona Pidrin 2013,Pietro Cassina Pietro Cassina Lessona Pidrin 2013,Pietro Cassina Pietro Cassina Lessona Pidrin
903,Pira di Chiara Boschis,https://www.dn.no/smak/vin/barolo-cannubi/4-1-66626,Barolo Cannubi,2014,Barolo Cannubi 2014,Pira di Chiara Boschis Barolo Cannubi 2014,Pira di Chiara Boschis Barolo Cannubi
904,Cogno,https://www.dn.no/smak/vin/barolo-bricco-pernice/4-1-66629,Barolo Bricco Pernice,2013,Barolo Bricco Pernice 2013,Cogno Barolo Bricco Pernice 2013,Cogno Barolo Bricco Pernice
905,"Germano, E.",https://www.dn.no/smak/vin/barolo-ceretta/4-1-66631,Barolo Ceretta,2013,Barolo Ceretta 2013,"Germano, E. Barolo Ceretta 2013","Germano, E. Barolo Ceretta"
906,Fattoria Nittardi,https://www.dn.no/smak/vin/nectar-dei/4-1-68974,Nectar Dei,2013,Nectar Dei 2013,Fattoria Nittardi Nectar Dei 2013,Fattoria Nittardi Nectar Dei
907,Giovanni Rosso,https://www.dn.no/smak/vin/oma-barolo/4-1-40958,OMA Barolo,2012,OMA Barolo 2012,Giovanni Rosso OMA Barolo 2012,Giovanni Rosso OMA Barolo
908,Az. Agr. Fontodi,https://www.dn.no/smak/vin/fontodi-vigna-del-sorbo-docg/4-1-68914,Fontodi Vigna del Sorbo DOCG,2015,Fontodi Vigna del Sorbo DOCG 2015,Az. Agr. Fontodi Fontodi Vigna del Sorbo DOCG 2015,Az. Agr. Fontodi Fontodi Vigna del Sorbo DOCG
909,Scarzello,https://www.dn.no/smak/vin/barolo-vigna-merenda/4-1-57524,Barolo Vigna Merenda,2010,Barolo Vigna Merenda 2010,Scarzello Barolo Vigna Merenda 2010,Scarzello Barolo Vigna Merenda
910,Michele Perillo,https://www.dn.no/smak/vin/perillo-taurasi/4-1-33726,Perillo Taurasi,2005,Perillo Taurasi 2005,Michele Perillo Perillo Taurasi 2005,Michele Perillo Perillo Taurasi
911,Az. Agr. Antoniolo,https://www.dn.no/smak/vin/antoniolo-gattinara-2010/4-1-31013,Antoniolo Gattinara 2010,2010,Antoniolo Gattinara 2010 2010,Az. Agr. Antoniolo Antoniolo Gattinara 2010 2010,Az. Agr. Antoniolo Antoniolo Gattinara 2010
912,Az. Agr. Antoniolo,https://www.dn.no/smak/vin/antoniolo-gattinara-san-francesco/4-1-44085,Antoniolo Gattinara San Francesco,2012,Antoniolo Gattinara San Francesco 2012,Az. Agr. Antoniolo Antoniolo Gattinara San Francesco 2012,Az. Agr. Antoniolo Antoniolo Gattinara San Francesco
913,Giovanni Rosso,https://www.dn.no/smak/vin/barolo-serralunga/4-1-55629,Barolo Serralunga,2013,Barolo Serralunga 2013,Giovanni Rosso Barolo Serralunga 2013,Giovanni Rosso Barolo Serralunga
914,Emidio Pepe,https://www.dn.no/smak/vin/emidio-pepe-montepulciano-dabruzzo/4-1-57388,Emidio Pepe Montepulciano d´Abruzzo,2013,Emidio Pepe Montepulciano d´Abruzzo 2013,Emidio Pepe Emidio Pepe Montepulciano d´Abruzzo 2013,Emidio Pepe Emidio Pepe Montepulciano d´Abruzzo
915,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barolo/4-1-53520,Roagna Barolo,2012,Roagna Barolo 2012,Az. Agr. Roagna Roagna Barolo 2012,Az. Agr. Roagna Roagna Barolo
916,Az. Agr. Erbaluna,https://www.dn.no/smak/vin/erbaluna-barolo-vigna-rocche/4-1-28759,Erbaluna Barolo Vigna Rocche,2011,Erbaluna Barolo Vigna Rocche 2011,Az. Agr. Erbaluna Erbaluna Barolo Vigna Rocche 2011,Az. Agr. Erbaluna Erbaluna Barolo Vigna Rocche
917,Az. Vit. Nervi,https://www.dn.no/smak/vin/nervi-gattinara-vigna-valferana/4-1-56633,Nervi Gattinara Vigna Valferana,2013,Nervi Gattinara Vigna Valferana 2013,Az. Vit. Nervi Nervi Gattinara Vigna Valferana 2013,Az. Vit. Nervi Nervi Gattinara Vigna Valferana
918,Punset,https://www.dn.no/smak/vin/punset-barbaresco-campo-quadro-riserva/4-1-66695,Punset Barbaresco Campo Quadro Riserva,2010,Punset Barbaresco Campo Quadro Riserva 2010,Punset Punset Barbaresco Campo Quadro Riserva 2010,Punset Punset Barbaresco Campo Quadro Riserva
919,Punset,https://www.dn.no/smak/vin/punset-barbaresco-campo-quadro-riserva/4-1-66694,Punset Barbaresco Campo Quadro Riserva,2011,Punset Barbaresco Campo Quadro Riserva 2011,Punset Punset Barbaresco Campo Quadro Riserva 2011,Punset Punset Barbaresco Campo Quadro Riserva
920,Az. Agr. Roagna,https://www.dn.no/smak/vin/barolo-la-pira/4-1-40473,Barolo la Pira,2011,Barolo la Pira 2011,Az. Agr. Roagna Barolo la Pira 2011,Az. Agr. Roagna Barolo la Pira
921,Podere Brizio,https://www.dn.no/smak/vin/brunello-di-montalcino/4-1-49481,Brunello di Montalcino,2012,Brunello di Montalcino 2012,Podere Brizio Brunello di Montalcino 2012,Podere Brizio Brunello di Montalcino
922,Az. Agr. Fontodi,https://www.dn.no/smak/vin/fontodi-vigna-del-sorbo-docg/4-1-41089,Fontodi Vigna del Sorbo DOCG,2012,Fontodi Vigna del Sorbo DOCG 2012,Az. Agr. Fontodi Fontodi Vigna del Sorbo DOCG 2012,Az. Agr. Fontodi Fontodi Vigna del Sorbo DOCG
923,Az. Agr. Schiavenza,https://www.dn.no/smak/vin/schiavenza-barolo-cerretta/4-1-54365,Schiavenza Barolo Cerretta,2013,Schiavenza Barolo Cerretta 2013,Az. Agr. Schiavenza Schiavenza Barolo Cerretta 2013,Az. Agr. Schiavenza Schiavenza Barolo Cerretta
924,Az. Agr. Schiavenza,https://www.dn.no/smak/vin/schiavenza-barolo-broglio/4-1-54364,Schiavenza Barolo Broglio,2013,Schiavenza Barolo Broglio 2013,Az. Agr. Schiavenza Schiavenza Barolo Broglio 2013,Az. Agr. Schiavenza Schiavenza Barolo Broglio
925,Gaja,https://www.dn.no/smak/vin/barolo-dagromis/4-1-53539,Barolo Dagromis,2013,Barolo Dagromis 2013,Gaja Barolo Dagromis 2013,Gaja Barolo Dagromis
926,Pod. Ruggeri Corsini,https://www.dn.no/smak/vin/corsini-barolo-bussia/4-1-47585,Corsini Barolo Bussia,2012,Corsini Barolo Bussia 2012,Pod. Ruggeri Corsini Corsini Barolo Bussia 2012,Pod. Ruggeri Corsini Corsini Barolo Bussia
927,Foradori,https://www.dn.no/smak/vin/granato/4-1-58977,Granato,2015,Granato 2015,Foradori Granato 2015,Foradori Granato
928,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco/4-1-53884,Barbaresco,2014,Barbaresco 2014,Prod. del Barbaresco Barbaresco 2014,Prod. del Barbaresco Barbaresco
929,Castell'in Villa,https://www.dn.no/smak/vin/castellin-villa-chianti-classico-riserva-magnum/4-1-54103,Castell’in Villa Chianti Classico Riserva Magnum,2010,Castell’in Villa Chianti Classico Riserva Magnum 2010,Castell'in Villa Castell’in Villa Chianti Classico Riserva Magnum 2010,Castell'in Villa Castell’in Villa Chianti Classico Riserva Magnum
930,Cavallotto,https://www.dn.no/smak/vin/cavallotto-barolo-bricco-boschis/4-1-55422,Cavallotto Barolo Bricco Boschis,2012,Cavallotto Barolo Bricco Boschis 2012,Cavallotto Cavallotto Barolo Bricco Boschis 2012,Cavallotto Cavallotto Barolo Bricco Boschis
931,Riecine,https://www.dn.no/smak/vin/la-gioia/4-1-53935,La Gioia,2013,La Gioia 2013,Riecine La Gioia 2013,Riecine La Gioia
932,Wongraven Wines,https://www.dn.no/smak/vin/wongraven-barolo-orion/4-1-56630,Wongraven Barolo Orion,2013,Wongraven Barolo Orion 2013,Wongraven Wines Wongraven Barolo Orion 2013,Wongraven Wines Wongraven Barolo Orion
933,Masi Agr.,https://www.dn.no/smak/vin/masi-costasera-amarone-classico/4-1-15598,Masi Costasera Amarone Classico,1997,Masi Costasera Amarone Classico 1997,Masi Agr. Masi Costasera Amarone Classico 1997,Masi Agr. Masi Costasera Amarone Classico
934,M. Marengo,https://www.dn.no/smak/vin/m-marengo-barolo/4-1-54839,M. Marengo Barolo,2013,M. Marengo Barolo 2013,M. Marengo M. Marengo Barolo 2013,M. Marengo M. Marengo Barolo
935,Giuseppe Mascarello,https://www.dn.no/smak/vin/g-mascarello-barolo-dai-vigneti-di-proprieta/4-1-23439,G. Mascarello Barolo dai Vigneti di Proprietà,2009,G. Mascarello Barolo dai Vigneti di Proprietà 2009,Giuseppe Mascarello G. Mascarello Barolo dai Vigneti di Proprietà 2009,Giuseppe Mascarello G. Mascarello Barolo dai Vigneti di Proprietà
936,Ar.Pe.Pe,https://www.dn.no/smak/vin/arpepe-sassella-riserva-vigna-regina/4-1-32219,ARPEPE Sassella Riserva Vigna Regina,2007,ARPEPE Sassella Riserva Vigna Regina 2007,Ar.Pe.Pe ARPEPE Sassella Riserva Vigna Regina 2007,Ar.Pe.Pe ARPEPE Sassella Riserva Vigna Regina
937,Az. Agr. Azelia,https://www.dn.no/smak/vin/azelia-barolo-bricco-fiasco/4-1-27834,Azelia Barolo Bricco Fiasco,2011,Azelia Barolo Bricco Fiasco 2011,Az. Agr. Azelia Azelia Barolo Bricco Fiasco 2011,Az. Agr. Azelia Azelia Barolo Bricco Fiasco
938,Gulfi,https://www.dn.no/smak/vin/gulfi-nerosanlore/4-1-35052,Gulfi NeroSanlorè,2010,Gulfi NeroSanlorè 2010,Gulfi Gulfi NeroSanlorè 2010,Gulfi Gulfi NeroSanlorè
939,Az. Agr. Brovia,https://www.dn.no/smak/vin/barolo/4-1-35056,Barolo,2011,Barolo 2011,Az. Agr. Brovia Barolo 2011,Az. Agr. Brovia Barolo
940,Az. Agr. Schiavenza,https://www.dn.no/smak/vin/schiavenza-barolo-broglio-riserva/4-1-78360,Schiavenza Barolo Broglio Riserva,2012,Schiavenza Barolo Broglio Riserva 2012,Az. Agr. Schiavenza Schiavenza Barolo Broglio Riserva 2012,Az. Agr. Schiavenza Schiavenza Barolo Broglio Riserva
941,Moccagatta,https://www.dn.no/smak/vin/barbaresco-bric-balin/4-1-80616,Barbaresco Bric Balin,2016,Barbaresco Bric Balin 2016,Moccagatta Barbaresco Bric Balin 2016,Moccagatta Barbaresco Bric Balin
942,Az. Agr. Schiavenza,https://www.dn.no/smak/vin/schiavenza-barolo-cerretta/4-1-78358,Schiavenza Barolo Cerretta,2015,Schiavenza Barolo Cerretta 2015,Az. Agr. Schiavenza Schiavenza Barolo Cerretta 2015,Az. Agr. Schiavenza Schiavenza Barolo Cerretta
943,Franco Francesco,https://www.dn.no/smak/vin/franco-francesco-barolo/4-1-80008,Franco Francesco Barolo,2014,Franco Francesco Barolo 2014,Franco Francesco Franco Francesco Barolo 2014,Franco Francesco Franco Francesco Barolo
944,Bosco Bracco,https://www.dn.no/smak/vin/bosco-bracco-barbera-dasti-le-serre/4-1-80014,Bosco Bracco Barbera d'Asti Le Serre,2016,Bosco Bracco Barbera d'Asti Le Serre 2016,Bosco Bracco Bosco Bracco Barbera d'Asti Le Serre 2016,Bosco Bracco Bosco Bracco Barbera d'Asti Le Serre
945,Luigi Pira,https://www.dn.no/smak/vin/luigi-pira-barolo-marenca/4-1-78557,Luigi Pira Barolo Marenca,2015,Luigi Pira Barolo Marenca 2015,Luigi Pira Luigi Pira Barolo Marenca 2015,Luigi Pira Luigi Pira Barolo Marenca
946,Giulia Negri,https://www.dn.no/smak/vin/giulia-negri-barolo-serradenari/4-1-78560,Giulia Negri Barolo Serradenari,2013,Giulia Negri Barolo Serradenari 2013,Giulia Negri Giulia Negri Barolo Serradenari 2013,Giulia Negri Giulia Negri Barolo Serradenari
947,Scarpa,https://www.dn.no/smak/vin/scarpa-barbera-dasti-i-bricchi/4-1-78130,Scarpa Barbera d'Asti I Bricchi,2014,Scarpa Barbera d'Asti I Bricchi 2014,Scarpa Scarpa Barbera d'Asti I Bricchi 2014,Scarpa Scarpa Barbera d'Asti I Bricchi
948,F.lli Tedeschi,https://www.dn.no/smak/vin/tedeschi-amarone/4-1-81541,Tedeschi Amarone,2016,Tedeschi Amarone 2016,F.lli Tedeschi Tedeschi Amarone 2016,F.lli Tedeschi Tedeschi Amarone
949,Az. Agr. Azelia,https://www.dn.no/smak/vin/azelia-barolo-bricco-fiasco/4-1-57920,Azelia Barolo Bricco Fiasco,2013,Azelia Barolo Bricco Fiasco 2013,Az. Agr. Azelia Azelia Barolo Bricco Fiasco 2013,Az. Agr. Azelia Azelia Barolo Bricco Fiasco
950,Az. Agr. Stefano Accordini,https://www.dn.no/smak/vin/accordini-recioto-della-valpolicella/4-1-66885,Accordini Recioto della Valpolicella,2016,Accordini Recioto della Valpolicella 2016,Az. Agr. Stefano Accordini Accordini Recioto della Valpolicella 2016,Az. Agr. Stefano Accordini Accordini Recioto della Valpolicella
951,Az. Agr. Poliziano,https://www.dn.no/smak/vin/poliziano-vino-nobile-di-montepulciano/4-1-66899,Poliziano Vino Nobile di Montepulciano,2016,Poliziano Vino Nobile di Montepulciano 2016,Az. Agr. Poliziano Poliziano Vino Nobile di Montepulciano 2016,Az. Agr. Poliziano Poliziano Vino Nobile di Montepulciano
952,Viberti Giovanni,https://www.dn.no/smak/vin/viberti-giovanni-barolo-san-pietro-riserva/4-1-68405,Viberti Giovanni Barolo San Pietro Riserva,2011,Viberti Giovanni Barolo San Pietro Riserva 2011,Viberti Giovanni Viberti Giovanni Barolo San Pietro Riserva 2011,Viberti Giovanni Viberti Giovanni Barolo San Pietro Riserva
953,Baudana &amp; G.D. Vajra,https://www.dn.no/smak/vin/baudana-barolo-baudana/4-1-71534,Baudana Barolo Baudana,2014,Baudana Barolo Baudana 2014,Baudana &amp; G.D. Vajra Baudana Barolo Baudana 2014,Baudana &amp; G.D. Vajra Baudana Barolo Baudana
954,Luigi Giordano,https://www.dn.no/smak/vin/giordano-barbaresco-montestefano/4-1-71535,Giordano Barbaresco Montestefano,2015,Giordano Barbaresco Montestefano 2015,Luigi Giordano Giordano Barbaresco Montestefano 2015,Luigi Giordano Giordano Barbaresco Montestefano
955,Giuseppe Mascarello,https://www.dn.no/smak/vin/guiseppe-mascarello-langhe-nebbiolo/4-1-65213,Guiseppe Mascarello Langhe Nebbiolo,2016,Guiseppe Mascarello Langhe Nebbiolo 2016,Giuseppe Mascarello Guiseppe Mascarello Langhe Nebbiolo 2016,Giuseppe Mascarello Guiseppe Mascarello Langhe Nebbiolo
956,I Campi di Flavio Prá,https://www.dn.no/smak/vin/i-campi-campo-ciotoli-valpolicella-superiore-ripasso/4-1-68504,I Campi Campo Ciotoli Valpolicella Superiore Ripasso,2015,I Campi Campo Ciotoli Valpolicella Superiore Ripasso 2015,I Campi di Flavio Prá I Campi Campo Ciotoli Valpolicella Superiore Ripasso 2015,I Campi di Flavio Prá I Campi Campo Ciotoli Valpolicella Superiore Ripasso
957,Ar.Pe.Pe,https://www.dn.no/smak/vin/arpepe-valtellina-superiore-riservasassella-cru-rocce-rosse/4-1-67561,ARPEPE Valtellina Superiore Riserva&nbsp;Sassella Cru Rocce Rosse,2009,ARPEPE Valtellina Superiore Riserva&nbsp;Sassella Cru Rocce Rosse 2009,Ar.Pe.Pe ARPEPE Valtellina Superiore Riserva&nbsp;Sassella Cru Rocce Rosse 2009,Ar.Pe.Pe ARPEPE Valtellina Superiore Riserva&nbsp;Sassella Cru Rocce Rosse
958,Ar.Pe.Pe,https://www.dn.no/smak/vin/arpepe-valtellina-superiore-riservainferno-cru-sesto-canto/4-1-67562,ARPEPE Valtellina Superiore Riserva&nbsp;Inferno Cru Sesto Canto,2009,ARPEPE Valtellina Superiore Riserva&nbsp;Inferno Cru Sesto Canto 2009,Ar.Pe.Pe ARPEPE Valtellina Superiore Riserva&nbsp;Inferno Cru Sesto Canto 2009,Ar.Pe.Pe ARPEPE Valtellina Superiore Riserva&nbsp;Inferno Cru Sesto Canto
959,Le Bertarole Az. Agr.,https://www.dn.no/smak/vin/le-bertarole-amarone-della-valpolicella-podere-le-mergonole/4-1-68509,Le Bertarole Amarone della Valpolicella Podere Le Mergonole,2013,Le Bertarole Amarone della Valpolicella Podere Le Mergonole 2013,Le Bertarole Az. Agr. Le Bertarole Amarone della Valpolicella Podere Le Mergonole 2013,Le Bertarole Az. Agr. Le Bertarole Amarone della Valpolicella Podere Le Mergonole
960,Ar.Pe.Pe,https://www.dn.no/smak/vin/arpepe-valtellina-superiore-riserva-grumello-cru-buon-consiglio/4-1-67563,ARPEPE Valtellina Superiore Riserva Grumello Cru Buon Consiglio,2009,ARPEPE Valtellina Superiore Riserva Grumello Cru Buon Consiglio 2009,Ar.Pe.Pe ARPEPE Valtellina Superiore Riserva Grumello Cru Buon Consiglio 2009,Ar.Pe.Pe ARPEPE Valtellina Superiore Riserva Grumello Cru Buon Consiglio
961,Le Piane,https://www.dn.no/smak/vin/le-piane-mimmo/4-1-66539,Le Piane Mimmo,2015,Le Piane Mimmo 2015,Le Piane Le Piane Mimmo 2015,Le Piane Le Piane Mimmo
962,Le Piane,https://www.dn.no/smak/vin/le-piane-piane/4-1-66541,Le Piane Piane,2015,Le Piane Piane 2015,Le Piane Le Piane Piane 2015,Le Piane Le Piane Piane
963,Sobrero,https://www.dn.no/smak/vin/sobrero-barolo-pernanno-riserva/4-1-65204,Sobrero Barolo Pernanno Riserva,2012,Sobrero Barolo Pernanno Riserva 2012,Sobrero Sobrero Barolo Pernanno Riserva 2012,Sobrero Sobrero Barolo Pernanno Riserva
