,name,rating,region,link
60,J Prognai Amarone della Valpolicella 2012,4.8,Amarone della Valpolicella,https://www.vivino.com/flli-giuliari-prognai-amarone-della-valpolicella/w/1196285?year=2012
61,Brunello di Montalcino 2004,4.8,Brunello di Montalcino,https://www.vivino.com/terre-del-palio-brunello-di-montalcino/w/1156762?year=2004
62,60 Sessantanni Old Vines Primitivo di Manduria 1973,4.8,Primitivo di Manduria,https://www.vivino.com/san-marzano-sixty-sessantanni-old-vines-primitivo-di-manduria/w/11890?year=1973
63,Graticciaia 2006,4.8,Salento,https://www.vivino.com/vallone-graticciaia/w/1173645?year=2006
64,Veneto Alzero Cabernet 1990,4.8,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-alzero-cabernet/w/1194532?year=1990
65,Colombaio Brunello di Montalcino 2005,4.8,Brunello di Montalcino,https://www.vivino.com/it-cava-donice-colombaio-brunello-di-montalcino-brunello-di-montalcino/w/1668860?year=2005
66,Brunello di Montalcino Riserva 2003,4.8,Brunello di Montalcino,https://www.vivino.com/az-agr-tornesi-tornesi-maurizio-brunello-di-montalcino-riserva/w/1258239?year=2003
67,Sassicaia 2009,4.7,Bolgheri Sassicaia,https://www.vivino.com/tenuta-san-guido-sassicaia/w/5078?year=2009
68,Sassicaia 2006,4.7,Bolgheri Sassicaia,https://www.vivino.com/tenuta-san-guido-sassicaia/w/5078?year=2006
69,Bolgheri Superiore 2007,4.7,Bolgheri Superiore,https://www.vivino.com/ornellaia-bolgheri-superiore/w/22447?year=2007
70,Tenuta Tignanello 'Solaia' 2009,4.7,Toscana,https://www.vivino.com/antinori-tuscany-tenuta-tignanello-solaia/w/1651?year=2009
71,Sassicaia 1999,4.7,Bolgheri Sassicaia,https://www.vivino.com/tenuta-san-guido-sassicaia/w/5078?year=1999
72,Sassicaia 1998,4.7,Bolgheri Sassicaia,https://www.vivino.com/tenuta-san-guido-sassicaia/w/5078?year=1998
73,Tenuta Tignanello 'Solaia' 2007,4.7,Toscana,https://www.vivino.com/antinori-tuscany-tenuta-tignanello-solaia/w/1651?year=2007
74,Sassicaia 1997,4.7,Bolgheri Sassicaia,https://www.vivino.com/tenuta-san-guido-sassicaia/w/5078?year=1997
75,Tenuta Tignanello 'Solaia' 2001,4.7,Toscana,https://www.vivino.com/antinori-tuscany-tenuta-tignanello-solaia/w/1651?year=2001
76,Tenuta Tignanello 'Solaia' 2015,4.7,Toscana,https://www.vivino.com/antinori-tuscany-tenuta-tignanello-solaia/w/1651?year=2015
77,Bolgheri Superiore 2005,4.7,Bolgheri Superiore,https://www.vivino.com/ornellaia-bolgheri-superiore/w/22447?year=2005
78,Amarone della Valpolicella Monte Lodoletta 2006,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2006
79,Toscana 2010,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2010
80,Amarone della Valpolicella Classico 2006,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=2006
81,Tenuta Tignanello 'Solaia' 1997,4.7,Toscana,https://www.vivino.com/antinori-tuscany-tenuta-tignanello-solaia/w/1651?year=1997
82,Amarone della Valpolicella Classico 2007,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=2007
83,Amarone della Valpolicella Classico 2000,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=2000
84,Bolgheri Superiore 2003,4.7,Bolgheri Superiore,https://www.vivino.com/ornellaia-bolgheri-superiore/w/22447?year=2003
85,Toscana 2012,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2012
86,Amarone della Valpolicella Classico 2004,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=2004
87,Toscana 2009,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2009
88,Amarone della Valpolicella Monte Lodoletta 2008,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2008
89,Amarone della Valpolicella Classico 2009,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=2009
90,Toscana 2007,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2007
91,Toscana 2004,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2004
92,Toscana 2008,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2008
93,Toscana 2011,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2011
94,Barbaresco 2001,4.7,Barbaresco,https://www.vivino.com/gaja-barbaresco/w/66104?year=2001
95,Brunello di Montalcino Riserva 2005,4.7,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=2005
96,Toscana 2001,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2001
97,Brunello di Montalcino Riserva 2004,4.7,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=2004
98,Toscana 2013,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2013
99,Campo del Titari Amarone della Valpolicella Classico Riserva 2012,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/brunelli-campo-del-titari-amarone-della-valpolicella-classico-riserva/w/1122281?year=2012
100,Brunello di Montalcino Riserva 2006,4.7,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=2006
101,Veneto Rosso del Bepi 2002,4.7,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-rosso-del-bepi/w/84068?year=2002
102,Barbaresco 1997,4.7,Barbaresco,https://www.vivino.com/gaja-barbaresco/w/66104?year=1997
103,Amarone della Valpolicella Monte Lodoletta 2011,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2011
104,Amarone della Valpolicella Classico 1998,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=1998
105,Campo del Titari Amarone della Valpolicella Classico Riserva 2013,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/brunelli-campo-del-titari-amarone-della-valpolicella-classico-riserva/w/1122281?year=2013
106,Toscana 2002,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2002
107,Amarone della Valpolicella Monte Lodoletta 2009,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2009
108,Amarone della Valpolicella Classico Vigneto Alto TB 2006,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/tommaso-bussola-amarone-della-valpolicella-classico-vigneto-alto-tb/w/74528?year=2006
109,Toscana 1999,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=1999
110,Toscana 1998,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=1998
111,Amarone della Valpolicella Monte Lodoletta 2010,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2010
112,Cerretalto Brunello di Montalcino 1999,4.7,Brunello di Montalcino,https://www.vivino.com/casanova-di-neri-cerretalto-brunello-di-montalcino/w/81836?year=1999
113,Barolo Riserva Monfortino 2002,4.7,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=2002
114,Toscana 2003,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2003
115,Brunello di Montalcino Riserva 2003,4.7,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=2003
116,Campo del Titari Amarone della Valpolicella Classico Riserva 2011,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/brunelli-campo-del-titari-amarone-della-valpolicella-classico-riserva/w/1122281?year=2011
117,25 2010,4.7,Bolgheri Superiore,https://www.vivino.com/ornellaia-twentyfive-bolgheri-superiore/w/7011222?year=2010
118,Amarone della Valpolicella Monte Lodoletta 2003,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2003
119,Toscana 2015,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2015
120,Brunello di Montalcino Riserva 2001,4.7,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=2001
121,Cerretalto Brunello di Montalcino 2006,4.7,Brunello di Montalcino,https://www.vivino.com/casanova-di-neri-cerretalto-brunello-di-montalcino/w/81836?year=2006
122,Toscana 1997,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=1997
123,Brunello di Montalcino Riserva 2004,4.7,Brunello di Montalcino,https://www.vivino.com/franco-biondi-santi-brunello-di-montalcino-riserva/w/82698?year=2004
124,Brunello di Montalcino Riserva 1999,4.7,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=1999
125,Cerretalto Brunello di Montalcino 2001,4.7,Brunello di Montalcino,https://www.vivino.com/casanova-di-neri-cerretalto-brunello-di-montalcino/w/81836?year=2001
126,Amarone della Valpolicella Monte Lodoletta 2004,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2004
127,La Mattonara Amarone della Valpolicella Classico Riserva 2006,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/zyme-la-mattonara-amarone-della-valpolicella-classico-riserva/w/1364756?year=2006
128,Toscana 2000,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2000
129,Toscana 1995,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=1995
130,Campo Inferi Amarone della Valpolicella Classico Riserva 2010,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/brunelli-campo-inferi-amarone-della-valpolicella-classico-riserva/w/1168085?year=2010
131,Amarone della Valpolicella Classico 1997,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/bertani-amarone-della-valpolicella-classico/w/1835?year=1997
132,Amarone della Valpolicella Monte Lodoletta 2000,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2000
133,Harlequin 2008,4.7,Veneto,https://www.vivino.com/zyme-harlequin/w/1446306?year=2008
134,Barolo Riserva Monfortino 1999,4.7,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=1999
135,Amarone della Valpolicella Monte Lodoletta 2001,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2001
136,Toscana 1996,4.7,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=1996
137,Amarone della Valpolicella Classico 2011,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=2011
138,Barolo Riserva Monfortino 2000,4.7,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=2000
139,Messorio 2005,4.7,Toscana,https://www.vivino.com/le-macchiole-messorio/w/16418?year=2005
140,Brunello di Montalcino Riserva Madonna del Piano 2001,4.7,Brunello di Montalcino,https://www.vivino.com/valdicava-brunello-di-montalcino-riserva-madonna-del-piano/w/1242989?year=2001
141,Sorì San Lorenzo 1998,4.7,Langhe,https://www.vivino.com/gaja-sori-san-lorenzo/w/66144?year=1998
142,Amarone della Valpolicella Classico Vigneto Il Fornetto 2010,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/azienda-agricola-accordini-stefano-amarone-della-valpolicella-classico-vigneto-il-fornetto/w/1127745?year=2010
143,Amarone della Valpolicella Classico 1997,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=1997
144,Case Basse Sangiovese Toscana 2006,4.7,Toscana,https://www.vivino.com/soldera-case-basse-sangiovese-toscana/w/2669217?year=2006
145,Madonna delle Grazie Brunello di Montalcino 2010,4.7,Brunello di Montalcino,https://www.vivino.com/il-marroneto-madonna-delle-grazie-brunello-di-montalcino/w/1171278?year=2010
146,Sorì San Lorenzo 1999,4.7,Langhe,https://www.vivino.com/gaja-sori-san-lorenzo/w/66144?year=1999
