,price,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,alcohol_pct,residual_sugar_g/l,acidity_g/l,winery
951,1991.97 kr.,30,14.0,59.7418,59.6731,11.456,66.1813,,,,Il Palazzone
952,475 kr.,30,114.0,85.0,28.6435,54.0818,27.1076,,,,Terre di Leone
953,7080.94 kr.,30,47.0,64.5432,82.2387,23.1064,83.8697,,,,Roberto Voerzio
954,6167.41 kr.,30,519.0,63.0573,80.3868,10.7209,85.0,13.5,,,Gaja
955,569.50 kr.,29,34.0,44.4211,35.8277,23.2269,52.2828,,,,Le Preare
956,399 kr.,29,175.0,85.0,25.4459,48.3507,21.7965,,,,Brunelli
957,370.95 kr.,29,1346.0,85.0,25.2959,48.9118,23.705,,,,Masi
958,999 kr.,29,26.0,85.0,41.4226,30.9808,29.7145,,,,Gianfranco Fino
959,435 kr.,29,42.0,66.8219,35.5418,40.8822,26.5233,,,,Bolla
960,,29,35.0,42.6873,44.2869,21.3768,64.7581,,,,San Lorenzo
961,445 kr.,29,472.0,85.0,22.9605,48.5944,23.7923,,,,Buglioni
962,484.16 kr.,29,143.0,45.5414,59.5439,8.5948,65.1561,,,,Colleoni Marieno
963,297.19 kr.,29,148.0,85.0,20.7827,50.1125,19.8862,,,,Rocca Sveva
964,398.39 kr.,29,246.0,50.9705,47.4537,5.77976,47.0571,,,,Paolo Bea
965,649 kr.,29,663.0,44.9616,57.3204,8.86358,65.4335,14.0,,,Il Marroneto
966,451.85 kr.,29,8.0,69.7897,76.627,0.0,85.0,,,,Renato Corino
967,1109.17 kr.,29,47.0,64.5432,82.2387,23.1064,83.8697,,,,Roberto Voerzio
968,275.62 kr.,30,29.0,64.3361,66.9107,0.0,74.4467,,,,Gigi Bianco
969,899 kr.,28,333.0,51.6646,57.9933,12.7994,61.9741,,,,Il Marroneto
970,1077.29 kr.,28,26.0,47.4085,46.4683,13.5986,62.7394,,,,Salicutti
971,193.66 kr.,28,230.0,67.6061,39.4511,11.1579,26.5131,,,,Inama Azienda Agricola
972,1731.42 kr.,28,42.0,58.5329,47.9204,18.3688,47.0062,15.0,,,Oasi degli Angeli
973,1489.53 kr.,29,308.0,61.842,80.6958,8.46924,85.0,,,,Paolo Scavino
974,878.93 kr.,28,25.0,79.9557,21.5796,52.9273,26.9245,,,,Villa Rinaldi
975,,28,263.0,48.3138,54.3043,6.59299,64.1879,,,,Tassi
976,4686.63 kr.,28,425.0,45.1328,57.4962,9.45539,61.6844,12.5,,,Biondi-Santi
977,170.35 kr.,27,16.0,42.6596,36.9539,12.5526,47.4291,,,,Conti Dagostino
978,450 kr.,27,64.0,60.2979,63.8156,4.87396,64.3802,,,,Palazzo
979,707.61 kr.,28,1783.0,52.0659,43.7066,11.7171,45.6351,,,,Luce della Vite
980,628.35 kr.,27,33.0,68.98899999999999,77.7909,0.0,85.0,,,,Bergadano
981,685.27 kr.,27,416.0,85.0,26.5652,53.8176,23.2517,,,,Brunelli
982,152.70 kr.,27,102.0,85.0,19.987,51.6648,19.9158,,,,Torre Mastio
983,613.76 kr.,27,2416.0,46.5034,56.6096,4.835369999999998,63.1581,,,,Fattoria dei Barbi
984,350 kr.,28,62.0,64.0576,73.6397,17.0294,81.6888,,,,Cascina Ballarin
985,2532.51 kr.,28,23.0,63.0966,85.0,0.0,85.0,,,,Giovanni Rosso
986,1250 kr.,27,143.0,85.0,22.8448,53.1769,19.4234,,,,Bussola
987,1731.42 kr.,27,42.0,58.5329,47.9204,18.3688,47.0062,15.0,,,Oasi degli Angeli
988,631.34 kr.,28,592.0,61.2283,78.6746,9.61938,84.9722,,,,Ceretto
989,284.57 kr.,27,55.0,43.7513,58.3239,5.6397900000000005,66.5202,,,,Corte Alla Flora
990,,27,17.0,52.19,54.81,0.0,51.78,,,,Phyracartha
991,999 kr.,27,29.0,54.9538,41.6078,25.9834,39.9994,,,,Vicchiomaggio
992,6852.67 kr.,27,520.0,42.8514,56.5698,12.7679,63.61,,,,Soldera
993,108.33 kr.,28,1284.0,44.0593,35.8916,5.75322,42.7402,,,,Banfi
994,975 kr.,27,194.0,61.4762,72.6724,5.51802,83.4324,,,,Luigi Oddero
995,365.57 kr.,27,830.0,65.4371,76.3154,15.7943,83.8216,,,,Nino Negri
996,7448.56 kr.,27,57.0,85.0,26.0082,54.5732,28.1912,,,,Quintarelli Giuseppe
997,662.92 kr.,27,2822.0,63.8095,76.2352,5.87564,81.4347,,,,Renato Ratti
998,1229.01 kr.,27,27.0,64.2616,50.7181,21.333,45.2239,14.5,,,Luce della Vite
999,463.70 kr.,29,1.0,85.0,26.0345,42.5,23.7069,,,,Leone di Venezia
1000,816.54 kr.,27,2.0,43.5465,42.5,0.0,42.5,,,,Ampeleia
1001,6167.41 kr.,27,497.0,63.7827,69.4635,9.09049,85.0,13.5,,,Gaja
1002,415.33 kr.,26,29.0,84.2034,24.625,41.1229,19.3559,,,,Tony Sasa
